latitude;longitude;heat_capacity_J_per_K
-69.0;-39.0;1.185465272e+21
-69.0;-33.0;1.185465272e+21
-69.0;-27.0;1.185465272e+21
-69.0;-21.0;1.185465272e+21
-69.0;-15.0;1.1820448760239998e+21
-69.0;-9.0;1.0463691689759999e+21
-69.0;-3.0;1.0532099609280001e+21
-69.0;3.0;9.71120457504e+20
-69.0;9.0;9.004322739999999e+20
-69.0;15.0;8.639480502559999e+20
-69.0;21.0;9.289355738e+20
-69.0;27.0;9.448974216880001e+20
-69.0;33.0;7.33973003168e+20
-69.0;39.0;6.883677234880001e+20
-69.0;45.0;3.95353801544e+20
-69.0;51.0;1.55926083224e+20
-69.0;57.0;1.87849779e+20
-69.0;63.0;3.4518799389599996e+20
-69.0;69.0;7.6931709492e+20
-69.0;75.0;7.613361709760001e+20
-69.0;81.0;4.11315649432e+20
-69.0;87.0;2.26614266728e+20
-69.0;93.0;1.6504713916e+20
-69.0;99.0;1.31983311392e+20
-69.0;105.0;8.8658295696e+19
-69.0;111.0;1.17161595496e+20
-69.0;117.0;2.4371624660799996e+20
-69.0;123.0;2.02671494896e+20
-69.0;129.0;1.69607667128e+20
-69.0;135.0;9.8919483624e+19
-69.0;141.0;1.9355043896e+20
-69.0;147.0;4.3867881724000004e+20
-69.0;153.0;5.583926764e+20
-69.0;159.0;7.43094059104e+20
-69.0;165.0;9.277954418080002e+20
-69.0;171.0;1.13415933236e+21
-69.0;177.0;1.185465272e+21
-63.0;-177.0;1.185465272e+21
-63.0;-171.0;1.185465272e+21
-63.0;-165.0;1.185465272e+21
-63.0;-159.0;1.185465272e+21
-63.0;-153.0;1.185465272e+21
-63.0;-147.0;1.185465272e+21
-63.0;-141.0;1.185465272e+21
-63.0;-135.0;1.185465272e+21
-63.0;-129.0;1.185465272e+21
-63.0;-123.0;1.185465272e+21
-63.0;-117.0;1.185465272e+21
-63.0;-111.0;1.185465272e+21
-63.0;-105.0;1.185465272e+21
-63.0;-99.0;1.185465272e+21
-63.0;-93.0;1.185465272e+21
-63.0;-87.0;1.185465272e+21
-63.0;-81.0;1.185465272e+21
-63.0;-75.0;1.185465272e+21
-63.0;-69.0;1.185465272e+21
-63.0;-63.0;1.074872468776e+21
-63.0;-57.0;1.1387198603280001e+21
-63.0;-51.0;1.185465272e+21
-63.0;-45.0;1.185465272e+21
-63.0;-39.0;1.185465272e+21
-63.0;-33.0;1.185465272e+21
-63.0;-27.0;1.185465272e+21
-63.0;-21.0;1.185465272e+21
-63.0;-15.0;1.185465272e+21
-63.0;-9.0;1.185465272e+21
-63.0;-3.0;1.185465272e+21
-63.0;3.0;1.185465272e+21
-63.0;9.0;1.185465272e+21
-63.0;15.0;1.185465272e+21
-63.0;21.0;1.185465272e+21
-63.0;27.0;1.185465272e+21
-63.0;33.0;1.185465272e+21
-63.0;39.0;1.185465272e+21
-63.0;45.0;1.185465272e+21
-63.0;51.0;1.1820448760239998e+21
-63.0;57.0;1.1820448760239998e+21
-63.0;63.0;1.185465272e+21
-63.0;69.0;1.185465272e+21
-63.0;75.0;1.185465272e+21
-63.0;81.0;1.185465272e+21
-63.0;87.0;1.185465272e+21
-63.0;93.0;1.185465272e+21
-63.0;99.0;1.176344216064e+21
-63.0;105.0;1.17976461204e+21
-63.0;111.0;1.176344216064e+21
-63.0;117.0;1.185465272e+21
-63.0;123.0;1.185465272e+21
-63.0;129.0;1.185465272e+21
-63.0;135.0;1.185465272e+21
-63.0;141.0;1.185465272e+21
-63.0;147.0;1.185465272e+21
-63.0;153.0;1.185465272e+21
-63.0;159.0;1.185465272e+21
-63.0;165.0;1.185465272e+21
-63.0;171.0;1.185465272e+21
-63.0;177.0;1.185465272e+21
-57.0;-177.0;1.185465272e+21
-57.0;-171.0;1.185465272e+21
-57.0;-165.0;1.185465272e+21
-57.0;-159.0;1.185465272e+21
-57.0;-153.0;1.185465272e+21
-57.0;-147.0;1.185465272e+21
-57.0;-141.0;1.185465272e+21
-57.0;-135.0;1.185465272e+21
-57.0;-129.0;1.185465272e+21
-57.0;-123.0;1.185465272e+21
-57.0;-117.0;1.185465272e+21
-57.0;-111.0;1.185465272e+21
-57.0;-105.0;1.185465272e+21
-57.0;-99.0;1.185465272e+21
-57.0;-93.0;1.185465272e+21
-57.0;-87.0;1.185465272e+21
-57.0;-81.0;1.185465272e+21
-57.0;-75.0;1.178624480048e+21
-57.0;-69.0;1.0133053412080001e+21
-57.0;-63.0;1.176344216064e+21
-57.0;-57.0;1.185465272e+21
-57.0;-51.0;1.185465272e+21
-57.0;-45.0;1.185465272e+21
-57.0;-39.0;1.170643556104e+21
-57.0;-33.0;1.184325140008e+21
-57.0;-27.0;1.184325140008e+21
-57.0;-21.0;1.185465272e+21
-57.0;-15.0;1.185465272e+21
-57.0;-9.0;1.185465272e+21
-57.0;-3.0;1.185465272e+21
-57.0;3.0;1.185465272e+21
-57.0;9.0;1.185465272e+21
-57.0;15.0;1.185465272e+21
-57.0;21.0;1.185465272e+21
-57.0;27.0;1.185465272e+21
-57.0;33.0;1.185465272e+21
-57.0;39.0;1.185465272e+21
-57.0;45.0;1.185465272e+21
-57.0;51.0;1.185465272e+21
-57.0;57.0;1.185465272e+21
-57.0;63.0;1.185465272e+21
-57.0;69.0;1.185465272e+21
-57.0;75.0;1.185465272e+21
-57.0;81.0;1.185465272e+21
-57.0;87.0;1.185465272e+21
-57.0;93.0;1.185465272e+21
-57.0;99.0;1.185465272e+21
-57.0;105.0;1.185465272e+21
-57.0;111.0;1.185465272e+21
-57.0;117.0;1.185465272e+21
-57.0;123.0;1.185465272e+21
-57.0;129.0;1.185465272e+21
-57.0;135.0;1.185465272e+21
-57.0;141.0;1.185465272e+21
-57.0;147.0;1.185465272e+21
-57.0;153.0;1.185465272e+21
-57.0;159.0;1.184325140008e+21
-57.0;165.0;1.185465272e+21
-57.0;171.0;1.185465272e+21
-57.0;177.0;1.185465272e+21
-51.0;-177.0;1.185465272e+21
-51.0;-171.0;1.185465272e+21
-51.0;-165.0;1.185465272e+21
-51.0;-159.0;1.185465272e+21
-51.0;-153.0;1.185465272e+21
-51.0;-147.0;1.185465272e+21
-51.0;-141.0;1.185465272e+21
-51.0;-135.0;1.185465272e+21
-51.0;-129.0;1.185465272e+21
-51.0;-123.0;1.185465272e+21
-51.0;-117.0;1.185465272e+21
-51.0;-111.0;1.185465272e+21
-51.0;-105.0;1.185465272e+21
-51.0;-99.0;1.185465272e+21
-51.0;-93.0;1.185465272e+21
-51.0;-87.0;1.185465272e+21
-51.0;-81.0;1.185465272e+21
-51.0;-75.0;7.55635511016e+20
-51.0;-69.0;5.105071327359999e+20
-51.0;-63.0;1.1729238200880001e+21
-51.0;-57.0;1.148981048256e+21
-51.0;-51.0;1.185465272e+21
-51.0;-45.0;1.185465272e+21
-51.0;-39.0;1.185465272e+21
-51.0;-33.0;1.185465272e+21
-51.0;-27.0;1.185465272e+21
-51.0;-21.0;1.185465272e+21
-51.0;-15.0;1.185465272e+21
-51.0;-9.0;1.185465272e+21
-51.0;-3.0;1.185465272e+21
-51.0;3.0;1.185465272e+21
-51.0;9.0;1.185465272e+21
-51.0;15.0;1.185465272e+21
-51.0;21.0;1.185465272e+21
-51.0;27.0;1.185465272e+21
-51.0;33.0;1.185465272e+21
-51.0;39.0;1.185465272e+21
-51.0;45.0;1.185465272e+21
-51.0;51.0;1.185465272e+21
-51.0;57.0;1.185465272e+21
-51.0;63.0;1.185465272e+21
-51.0;69.0;1.1569619722e+21
-51.0;75.0;1.183185008016e+21
-51.0;81.0;1.185465272e+21
-51.0;87.0;1.185465272e+21
-51.0;93.0;1.185465272e+21
