latitude;longitude;heat_capacity_J_per_K
-33.0;-141.0;5.92732636e+18
-33.0;-135.0;5.92732636e+18
-33.0;-129.0;5.92732636e+18
-33.0;-123.0;5.92732636e+18
-33.0;-117.0;5.92732636e+18
-33.0;-111.0;5.92732636e+18
-33.0;-105.0;5.92732636e+18
-33.0;-99.0;5.92732636e+18
-33.0;-93.0;5.92732636e+18
-33.0;-87.0;5.92732636e+18
-33.0;-81.0;5.92732636e+18
-33.0;-75.0;5.8724164246e+18
-33.0;-69.0;2.43505446856e+18
-33.0;-63.0;2.29960996124e+18
-33.0;-57.0;2.76817474332e+18
-33.0;-51.0;5.13296262788e+18
-33.0;-45.0;5.92732636e+18
-33.0;-39.0;5.92732636e+18
-33.0;-33.0;5.92732636e+18
-33.0;-27.0;5.92732636e+18
-33.0;-21.0;5.92732636e+18
-33.0;-15.0;5.92732636e+18
-33.0;-9.0;5.92732636e+18
-33.0;-3.0;5.92732636e+18
-33.0;3.0;5.92732636e+18
-33.0;9.0;5.92732636e+18
-33.0;15.0;5.8541131128e+18
-33.0;21.0;3.3685233703600005e+18
-33.0;27.0;3.96155067268e+18
-33.0;33.0;5.85777377516e+18
-33.0;39.0;5.92732636e+18
-33.0;45.0;5.92732636e+18
-33.0;51.0;5.92732636e+18
-33.0;57.0;5.92732636e+18
-33.0;63.0;5.92732636e+18
-33.0;69.0;5.92732636e+18
-33.0;75.0;5.92732636e+18
-33.0;81.0;5.92732636e+18
-33.0;87.0;5.92732636e+18
-33.0;93.0;5.92732636e+18
-33.0;99.0;5.92732636e+18
-33.0;105.0;5.92732636e+18
-33.0;111.0;5.92732636e+18
-33.0;117.0;3.71628629456e+18
-33.0;123.0;3.77851755468e+18
-33.0;129.0;4.777878378959999e+18
-33.0;135.0;3.8590521266e+18
-33.0;141.0;2.37282320844e+18
-33.0;147.0;2.27032466236e+18
-33.0;153.0;4.79984235312e+18
-33.0;159.0;5.92732636e+18
-33.0;165.0;5.92732636e+18
-33.0;171.0;5.8541131128e+18
-33.0;177.0;5.8907197364e+18
-27.0;-177.0;5.92732636e+18
-27.0;-171.0;5.92732636e+18
-27.0;-165.0;5.92732636e+18
-27.0;-159.0;5.92732636e+18
-27.0;-153.0;5.92732636e+18
-27.0;-147.0;5.92732636e+18
-27.0;-141.0;5.92732636e+18
-27.0;-135.0;5.92732636e+18
-27.0;-129.0;5.92732636e+18
-27.0;-123.0;5.92732636e+18
-27.0;-117.0;5.92732636e+18
-27.0;-111.0;5.92732636e+18
-27.0;-105.0;5.92732636e+18
-27.0;-99.0;5.92732636e+18
-27.0;-93.0;5.92732636e+18
-27.0;-87.0;5.92732636e+18
-27.0;-81.0;5.92732636e+18
